data,method,target_coverage,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
galaxyzoo,OVA,0.9,"[1794, 206]",71.0,206.0,0.8623336479067802,1.0,2.0,-0.173966206723014,0.22584724909053971,0.4411322742810181,-0.6166186809479184,0.26868626750189034
galaxyzoo,ASM,0.1,"[226, 1774]",226.0,322.0,-0.9974204249563627,1.0,2.0,-0.00962236653694093,0.20796864346461194,0.9630963632069522,-0.4172334176412316,0.39798868456734976
galaxyzoo,ASM,0.2,"[396, 1604]",396.0,165.0,-0.9606230329722166,1.0,2.0,0.30879161101222785,0.13950199598134774,0.02686124683786025,0.035372723117334914,0.5822104989071208
galaxyzoo,ASM,0.3,"[578, 1422]",79.0,79.0,-0.8124986462295055,1.0,2.0,0.18793891392867745,0.22363321033222308,0.4006902546930111,-0.2503741240695505,0.6262519519269054
galaxyzoo,ASM,0.4,"[817, 1183]",139.0,127.0,-0.5328259855508802,1.0,2.0,-0.28625726072651314,0.1756817801324065,0.10322672124606223,-0.6305872225259144,0.05807270107288803
galaxyzoo,ASM,0.5,"[981, 1019]",154.0,308.0,-0.32546211779117584,1.0,2.0,0.19766007963343146,0.13229283157534108,0.13514679749832442,-0.06162910566706031,0.45694926493392324
galaxyzoo,ASM,0.6,"[1170, 830]",260.0,440.0,-0.1942276835441589,1.0,2.0,-0.1235112678965905,0.09486410593654074,0.19292286496589195,-0.3094414989578027,0.06241896316462167
galaxyzoo,ASM,0.7,"[1357, 643]",449.0,368.0,-0.10810696482658387,1.0,2.0,-0.0036254891512945697,0.07815209230970187,0.9629992681908981,-0.15680077539475995,0.1495497970921708
galaxyzoo,ASM,0.8,"[1588, 412]",507.0,164.0,0.0035743117332458114,1.0,2.0,-0.08546506150516464,0.10179556306302262,0.40114643672379147,-0.2849806988946648,0.11405057588433554
galaxyzoo,ASM,0.9,"[1793, 207]",62.0,61.0,0.3781559199094776,1.0,2.0,0.36007366390932294,0.25281819919326676,0.15437715609039857,-0.13544090114575325,0.8555882289643991
