data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
galaxyzoo,RS,0.6,-0.006451612903225823,-0.05052793269327194,0.03762470688682032,0.7741987444237424,0.6552346570397112,0.9183955739972337,0.8385,"[1446, 554]",77.0,33.0,-0.9986232672090409,1.0,2.0,-0.04013168217188623,0.27401774947654756,0.8835610228012214,-0.5771966022706387,0.4969332379268663
galaxyzoo,RS,0.7,0.014414414414414378,-0.04015151633984515,0.068980345168674,0.6046298629532598,0.6755447941888619,0.8979206049149339,0.845,"[1587, 413]",36.0,15.0,-0.9939797420520335,1.0,2.0,0.40076919589411475,0.31907517916864164,0.20910373151864425,-0.2246066636370878,1.0261450554253173
galaxyzoo,RS,0.8,0.0603674540682414,-0.006407940618291474,0.12714284875477444,0.07641435600937618,0.6655629139072847,0.8839811542991755,0.8525,,,,,,,,,,,
galaxyzoo,RS,0.9,0.08938547486033521,-0.009450333545377845,0.18822128326604826,0.07630179427452298,0.6428571428571429,0.8580645161290322,0.849,,,,,,,,,,,
galaxyzoo,CC,0.1,-0.09280089988751405,-0.11750547878574744,-0.06809632098928067,1.8055441111247661e-13,0.7291981845688351,0.9336283185840708,0.76,"[678, 1322]",582.0,888.0,-1.0609626770019531e-05,1.0,2.0,0.011879121447213148,0.02491737021787807,0.6335468649111091,-0.03695802676927883,0.06071626966370513
galaxyzoo,CC,0.2,-0.08233815210559403,-0.10860942298075729,-0.05606688123043066,8.106671502862755e-10,0.7174813587406794,0.9419924337957125,0.777,"[793, 1207]",700.0,778.0,-4.76837158203125e-07,1.0,2.0,-0.06638026882563697,0.023232614395814827,0.004273939503313967,-0.11191535630814081,-0.020845181343133116
galaxyzoo,CC,0.3,-0.06705118961788026,-0.09598926573257187,-0.038113113503188814,5.589528728263403e-06,0.6941176470588235,0.9448979591836735,0.796,"[980, 1020]",895.0,612.0,4.32133674621582e-06,1.0,2.0,-0.1479294846940563,0.02572081282063204,8.853182275641688e-09,-0.19834135147559118,-0.09751761791252143
galaxyzoo,CC,0.4,-0.05965202982601492,-0.0918167939333645,-0.027487265718665325,0.00027808415525049985,0.6726618705035972,0.9442538593481989,0.8065,"[1166, 834]",1092.0,452.0,0.00022718310356135,1.0,2.0,-0.18424319640087183,0.03371163051598733,4.6220014630339755e-08,-0.25031677807232844,-0.11816961472941523
galaxyzoo,CC,0.5,-0.044652128764278265,-0.08282686439403392,-0.0064773931345226896,0.02187532373984119,0.6614950634696756,0.9395817195972115,0.821,"[1291, 709]",1229.0,356.0,0.001553222537040625,1.0,2.0,-0.22631037427358924,0.04039776437276725,2.1182905580044104e-08,-0.30548853750014837,-0.14713221104703011
galaxyzoo,CC,0.6,-0.01308900523560208,-0.05801434421640463,0.031836333745200444,0.5679753459141785,0.653169014084507,0.9210893854748603,0.8375,"[1432, 568]",1341.0,187.0,0.007027760148048375,1.0,2.0,-0.1277974647103861,0.07373676174806021,0.0830675748612933,-0.27231886207319483,0.016723932652422613
galaxyzoo,CC,0.7,0.008802816901408383,-0.04507733779145726,0.06268297159427416,0.7488057701033966,0.6602409638554216,0.905993690851735,0.845,"[1585, 415]",1481.0,93.0,0.02872939407825465,1.0,2.0,0.09308848736141351,0.12847175908913408,0.4687077252480092,-0.15871153348379563,0.34488850820662265
galaxyzoo,CC,0.8,0.0680628272251308,0.0009444214465330891,0.13518123300372864,0.04686230111759135,0.672077922077922,0.8918439716312057,0.8555,"[1692, 308]",1581.0,108.0,0.08116856217384334,1.0,2.0,0.3721975364434762,0.1247117623876844,0.0028407733072130723,0.12776697371509782,0.6166280991718546
galaxyzoo,CC,0.9,0.09589041095890416,0.006440657898093033,0.18534016401971518,0.03563329195410853,0.6571428571428571,0.8723287671232877,0.853,"[1825, 175]",140.0,88.0,0.21011310815811152,1.0,2.0,-0.06845629117589502,0.18615530049883988,0.7130689504342318,-0.43331397568485236,0.2964013933330623
galaxyzoo,DT,0.1,-0.08914728682170547,-0.11378076450192437,-0.06451380914148644,1.312272040569685e-12,0.761521580102414,0.8230647709320695,0.7555,"[633, 1367]",63.0,202.0,0.9943317549999999,1.0,2.0,0.021342520046853775,0.18693180809231183,0.9091008468132251,-0.34503709137903044,0.387722131472738
galaxyzoo,DT,0.2,-0.09357454772301932,-0.1195843717278526,-0.06756472371818609,1.772699625824288e-12,0.7714521452145214,0.8096446700507615,0.761,"[788, 1212]",171.0,1212.0,0.9986916225,1.0,2.0,0.15932261556767768,0.13371788183919026,0.2334639309454084,-0.10275961692611779,0.42140484806147316
galaxyzoo,DT,0.3,-0.08398023994354264,-0.11128027368451618,-0.056680206202569285,1.6474033222136704e-09,0.768791627021884,0.8103266596417281,0.7765,"[949, 1051]",313.0,1051.0,0.999685925,1.0,2.0,-0.026009863257046018,0.10103530871521434,0.7968442203739484,-0.22403542950575195,0.1720157029916599
galaxyzoo,DT,0.4,-0.08168316831683176,-0.1104041642241055,-0.0529621724095579,2.4869515419967374e-08,0.7628635346756152,0.8164556962025317,0.7865,"[1106, 894]",470.0,894.0,0.999926445,1.0,2.0,-0.1710782438959748,0.10996150728955349,0.11975537508666562,-0.38659883786923827,0.04444235007728864
galaxyzoo,DT,0.5,-0.09027081243731194,-0.12125254247622065,-0.059289082398403206,1.1250868242917097e-08,0.7671232876712328,0.8165354330708662,0.791,"[1270, 730]",627.0,730.0,0.9999860199999999,1.0,2.0,0.10560819132738675,0.09696566589665635,0.2760966729361133,-0.08444102156700348,0.295657404221777
galaxyzoo,DT,0.6,-0.09974093264248707,-0.13545005770610946,-0.06403180757886465,4.3881590182572675e-08,0.7604690117252931,0.8210976478973628,0.7975,"[1403, 597]",772.0,597.0,0.9999975,1.0,2.0,-0.286094164939525,0.1249542229324947,0.022044990445744952,-0.5309999416034035,-0.0411883882756465
galaxyzoo,DT,0.7,-0.11055276381909551,-0.15092320782695126,-0.07018231981123965,7.9933368938077e-08,0.7775280898876404,0.8205787781350482,0.803,,,,,,,,,,,
galaxyzoo,DT,0.8,-0.10526315789473684,-0.15316209570672018,-0.05736422008275352,1.6530769357876783e-05,0.7899686520376176,0.8221296847114813,0.816,,,,,,,,,,,
